exp,I2,LiI,LiTFSI,PCE,Voc,Jsc,AVT
1,90,0.5,0.15,2.317944,462.903,9.689188889,52.64
2,120,0.5,0.15,2.385929,364.763,12.06898889,52.13
3,90,0.1,0.15,0.002208,58.489,0.215902778,39.12
4,120,0.1,0.15,0.0107,223.68,0.498322222,31.5
5,90,0.3,0,2.372845,457.603,10.65000833,52.89
6,120,0.3,0,2.528434,459.231,11.15259167,51.75
7,90,0.3,0.3,1.959585,441.127,9.315338889,52
8,120,0.3,0.3,2.173696,442.424,9.560930556,51.47
9,60,0.5,0,2.718247,429.798,12.97906944,54.48
10,60,0.1,0,0.696832,506.554,2.626947222,54.44
11,60,0.5,0.3,2.599122,427.15,12.16125833,54.1
12,60,0.1,0.3,0.516424,453.797,2.013052778,54.26
13,60,0.3,0.15,2.298583,440.607,10.74335556,53.88
