exp;I2;LiI;LiTFSI;PCE;Voc;Jsc;AVT;AVTafter;Coc;LUE
1;90;0.5;0.15;2.317944;0.462902999999999;9.68918888888889;52.64;16;3.29;7.62603576
2;120;0.5;0.15;2.385929;0.364763;12.0689888888888;52.13;16;3.258.125;7.773654923125
3;90;0.1;0.15;0.002208;0.58489;0.215902777777777;39.12;16;2.445;0.00539856
4;120;0.1;0.15;0.0107;0.22368;0.498322222222222;31.5;16;196.875;0.021065625
5;90;0.3;0;2.372845;0.457603;10.6500083333333;52.89;16;3.305.625;7.843735753125
6;120;0.3;0;2.528434;0.459231;11.1525916666666;51.75;16;3.234.375;8.17790371875
7;90;0.3;0.3;1.959585;0.441127;9.31533888888889;52;16;3.25;6.36865125
8;120;0.3;0.3;2.173696;0.442424;9.56093055555555;51.47;16;3.216.875;6.99250832
9;60;0.5;0;2.718247;0.429797999999999;12.9790694444444;54.48;16;3.405;9.255631035
10;60;0.1;0;0.696832;0.506554;2.62694722222222;54.44;16;34.025;2.37097088
11;60;0.5;0.3;2.599122;0.42715;12.1612583333333;54.1;16;338.125;8.7882812625
12;60;0.1;0.3;0.516424;0.453797;2.01305277777777;54.26;16;339.125;1.75132289
13;60;0.3;0.15;2.298583;0.440606999999999;10.7433555555555;53.88;16;33.675;7.7404782525
14;60;0.40;0.00;2.705830;0.426302;13.454075;54.32;16;1;9.8629285
15;60;0.45;0.05;2.720180;0.410821;13.991469;53.51;16;1;9.0973019875
16;60;0.40;0.10;2.699462;0.407157;14.392694;53.05;16;1;8.95040369375
17;60;0.5;0.10;2.656776;0.406640;14.507764;53.72;16;1;8.92012542
