exp;TEMPO;TEMPOBF4;LiI;LiTFSI;PCE;AVT;LUEp
1;0.15;0.075;0.3;0;0.94;56;4.23832528180354
2;0.15;0.1;0;0.2;0;18.75;0
3;0.15;0.05;0.5;0.1;1.6;63.12;7.83491078355314
4;0.15;0.025;1;0.3;1.97;51.3;6.8238352464551
5;0.1;0.075;0.5;0.3;1.79;51;5.88967741935484
6;0.1;0.025;0;0;0;56.73;0
7;0.1;0.05;0.3;0.2;0.87;43;1.90867346938775
8;0.1;0.1;1;0.1;1.37;47.72;3.39794178794179
9;0.2;0.05;0;0.3;0;47.24;0
10;0.2;0.075;1;0.2;1.84;50.22;3.76701182225846
11;0.2;0.1;0.5;0;1.05;53.31;2.49445187165775
12;0.2;0.025;0.3;0.1;1.49;50.93;2.339984582177
13;0.25;0.05;1;0;0.675;51.48;1.43413124226166
14;0.25;0.025;0.5;0.2;1.25;42.7;2.8804641122504
15;0.25;0.075;0;0.1;0;41.42;0
16;0.25;0.1;0.3;0.3;0.93;40.04;1.19733762057878
